"Pair","Order","Invocation","Seed","GC","Variant","Workers","OpsPerSecond","Gen0","Gen1","Gen2","ObservedServerGC","ObservedConcurrentGC","CollectorConfirmed","ReportValid","VerificationSuccess","RequestedAllocationNotification","RequestedReadyToRun","RequestedTieredCompilation","RequestEvidence","CoreClrSha256","CoreClrFileVersion","CompletionMarker"
"srv-0","0","0","20260901","srv","unregistered","8","329564.553155","131","130","1","true","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=250085376"
"srv-0","1","0","20260901","srv","registered-empty","8","248799.082429","99","98","1","true","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=189267968"
"srv-1","0","1","20260902","srv","registered-empty","8","245495.993608","98","97","1","true","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=186646528"
"srv-1","1","1","20260902","srv","unregistered","8","327987.080972","129","128","1","true","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=247988224"
"srv-2","0","2","20260903","srv","unregistered","8","327841.975192","130","129","1","true","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=249036800"
"srv-2","1","2","20260903","srv","registered-empty","8","249802.212588","99","98","1","true","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=188743680"
"srv-3","0","3","20260904","srv","registered-empty","8","250917.645718","100","99","1","true","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=190316544"
"srv-3","1","3","20260904","srv","unregistered","8","329742.509120","131","130","1","true","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=250609664"
"srv-4","0","4","20260905","srv","unregistered","8","333276.270317","132","131","1","true","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=252182528"
"srv-4","1","4","20260905","srv","registered-empty","8","250691.860148","100","99","1","true","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=189792256"
